"Active payment methods:","Aktive Zahlungsarten:"
"Allowed Customer Group","Zugelassene Kundengruppen"
"An error occurred during the payment process","Beim verarbeiten der Zahlung ist ein Fehler aufgetreten"
"An internal error occurred during the payment process!","An internal error occurred during the payment process!"
"Bank account owner","Kontoinhaber"
"BIC","BIC"
"Billing/Shipping Address must be identical","Zahlungs/Versandresse müssen gleich sein"
"Choose your bank...","Wählen sie ihre Bank..."
"Configuration test ok","Konfigurationstest ok"
"Configuration","Konfiguration"
"consent","Zustimmung"
"Consumer e-mail address","E-mail-Adresse des Konsumenten"
"Consumer wallet ID","Wallet-ID des Konsumenten"
"Contact Form","Kontaktformular"
"Create order before payment","Bestellung vor dem Bezahlvorgang anlegen"
"Create order after payment","Bestellung nach dem Bezahlvorgang anlegen"
"Credit number","Gutschrift-Nr."
"Customer statement","Abrechnungstext"
"Existing order data","Bestehende Zahlung Daten"
"Existing order","Bestehende Zahlung"
"Foreign payment methods:","Fremde Zahlungsarten:"
"fraud attemmpt detected, cart has been modified during checkout!","Ein Betrugsversuch wurde festgestellt, der Warenkorb wurde währen des Bezahlvorganges verändert!"
"Fund transfer submitted successfully!","Auszahlung erfolgreich gebucht!"
"Fund transfer type","Auszahlungsart"
"Fund Transfer","Auszahlung"
"I agree that the data which are necessary for the liquidation of purchase on account and which are used to complete the identy and credit check are transmitted to payolution. My %s can be revoked at any time with effect for the future.","Mit der Übermittlung der für die Abwicklung des Rechnungskaufes und einer Identitäts- und Bonitätsprüfung erforderlichen Daten an payolution bin ich einverstanden. Meine %s kann ich jederzeit mit Wirkung für die Zukunft widerrufen."
"IBAN","IBAN"
"Installed Modules:","Installierte Module:"
"Invalid fund transfer type","Ungültige Auszahlungsart"
"moneta.ru data","moneta.ru data"
"No order number found.","Auftragsnummer wurde nicht gefunden."
"Order with obligation to pay", "Zahlungspflichtig bestellen"
"Order description","Auftragsbeschreibung"
"Order number","Auftragsnummer"
"Order reference","Auftragsreferenz"
"Please enter a valid e-mail address (reply to).","Bitte geben Sie eine gültige E-Mail Addresse ein (reply to)."
"Please enter a valid e-mail address.","Bitte geben Sie eine gültige E-Mail Addresse ein."
"Please select the fund transfer type","Bitte wählen Sie die Auszahlungsart"
"Plugin name: %product","Plugin name: %product"
"Plugin version: %product","Plugin version: %product"
"Product: %product","Product: %product"
"Refund not allowed for this order.","Auszahlung ist für diesen Auftrag nicht erlaubt."
"Send support request","Supportanfrage senden"
"SEPA-CT data","SEPA-CT Daten"
"Skrill Digital Wallet data","Skrill Digital Wallet Daten"
"Source order number","Quell-Auftragsnummer"
"Submit Transfer","Auszahlung durchführen"
"Support request sent successfully!","Supportanfrage erfolgreich abgesendet!"
"Support Request","Supportanfrage"
"Test with 3-D Secure","Test mit 3-D Secure"
"Test without 3-D Secure","Test ohne 3-D Secure"
"The Customer ID has a fixed length of 7.","Die Customer ID hat ein fixe Länge von 7 Zeichen."
"The payment authorization is pending.","Ihre Zahlung wurde vom Finanzdienstleister noch nicht bestätigt."
"The payment has been successfully completed.","The payment has been successfully completed."
"Version: %product","Version: %product"
"Void not possible anymore for this payment, please try cancel instead!","Das Aufheben der Authorisierung ist nicht mehr möglich!"
"Qenta Checkout Seamless Fund Transfer","Qenta Checkout Seamless Auszahlungr"
"Qenta Checkout Seamless Bancontact","Qenta Checkout Seamless Bancontact"
"Qenta Checkout Seamless Credit Card - Mail Order / Telephone Order","Qenta Checkout Page Kreditkarte - Post / Telefonbestellung"
"Qenta Checkout Seamless Credit Card","Qenta Checkout Seamless Kreditkarte"
"Qenta Checkout Seamless eKonto","Qenta Checkout Seamless eKonto"
"Qenta Checkout Seamless ePay.bg","Qenta Checkout Seamless ePay.bg"
"Qenta Checkout Seamless eps Online-Überweisung","Qenta Checkout Seamless eps Online-Überweisung"
"Qenta Checkout Seamless giropay","Qenta Checkout Seamless giropay"
"Qenta Checkout Seamless iDEAL","Qenta Checkout Seamless iDEAL"
"Qenta Checkout Seamless Installment","Qenta Checkout Seamless Ratenzahlung"
"Qenta Checkout Seamless Invoice B2B","Qenta Checkout Seamless Rechnung B2B"
"Qenta Checkout Seamless Invoice","Qenta Checkout Seamless Rechnung"
"Qenta Checkout Seamless Maestro SecureCode","Qenta Checkout Seamless Maestro SecureCode"
"Qenta Checkout Seamless moneta.ru","Qenta Checkout Seamless moneta.ru"
"Qenta Checkout Seamless My Voucher","Qenta Checkout Seamless Mein Gutschein"
"Qenta Checkout Seamless paybox","Qenta Checkout Seamless paybox"
"Qenta Checkout Seamless PayPal","Qenta Checkout Seamless PayPal"
"Qenta Checkout Seamless paysafecard","Qenta Checkout Seamless paysafecard"
"Qenta Checkout Seamless POLi","Qenta Checkout Seamless POLi"
"Qenta Checkout Seamless Przelewy24","Qenta Checkout Seamless Przelewy24"
"Qenta Checkout Seamless SEPA Direct Debit","Qenta Checkout Seamless SEPA Lastschrift"
"Qenta Checkout Seamless Skrill Digital Wallet","Qenta Checkout Seamless Skrill Digital Wallet"
